rep,lin_mmd_b,rbf_mmd_b,knn_overlap_b,tail_ipm_b,rho_b,mmd_sim_b,mmd_dsim_b,smd_latent_b_sim,smd_latent_b_dsim,lin_mmd_s,rbf_mmd_s,knn_overlap_s,tail_ipm_s,rho_s,mmd_sim_s,mmd_dsim_s,smd_latent_s_sim,smd_latent_s_dsim,mse_factual_b,mse_factual_s,ov_sim,ov_dsim,smd_sim,smd_dsim,pehe_b,pehe_s,delta_mmd,delta_pehe
24,0.005510587245225906,0.01191692195444427,0.8839285714285714,1.9456183910369873,0.880679858791269,0.023508953256012877,0.015089936086937983,0.4671246111392975,0.48458531498908997,0.027146993204951286,0.008166111778577845,0.8497023809523809,9.597707748413086,0.9388396296961516,0.013936919515864843,0.009263334753000563,0.18112583458423615,0.193184494972229,51.18505096435547,20.224712371826172,0.9925925925925926,0.8640595903165735,0.45985615253448486,0.38425517082214355,24.211103439331055,20.530649185180664,-0.003750810175866426,-3.6804542541503906
25,0.019795706495642662,0.023243136100071227,0.8705357142857143,1.604312539100647,0.8779941519189336,0.020384309454098748,0.019145561176859727,0.5280255079269409,0.5199474096298218,0.9134450554847717,0.02360582600563499,0.8526785714285714,10.110400199890137,0.9164823106585166,0.02845915626964468,0.013414603656141666,0.19561466574668884,0.22813302278518677,1025.108642578125,935.8822631835938,1.0,0.8379888268156425,0.5992515087127686,0.5488890409469604,271.9425354003906,259.7884216308594,0.00036268990556376224,-12.15411376953125
26,0.002125899773091078,0.016562848850231626,0.8288690476190477,0.5350534319877625,0.44006137235049186,0.04577516375950941,0.01854830464210644,0.676074743270874,0.574924111366272,0.48328930139541626,0.02783185075168315,0.8779761904761905,11.904715538024902,0.9403884310605507,0.047768986023640325,0.02314558785649179,0.29153186082839966,0.22639665007591248,42.29133987426758,87.23905944824219,0.837037037037037,0.839851024208566,0.4970993101596832,0.44381245970726013,16.102012634277344,65.21954345703125,0.011269001901451525,49.117530822753906
27,0.007942156866192818,0.011740132416824478,0.8616071428571429,1.522632360458374,0.8647296458948817,0.04679742249585217,0.008789895406980386,0.7778647541999817,0.3837679624557495,0.26799556612968445,0.016093054310159283,0.7916666666666666,7.9304680824279785,0.939724634362568,0.05401931529877546,0.006756241226578141,0.17401638627052307,0.1286422163248062,4696.1064453125,4552.6611328125,0.7333333333333333,0.9162011173184358,0.6537436842918396,0.421003133058548,1975.9315185546875,1973.5301513671875,0.004352921893334805,-2.4013671875
28,0.03646000847220421,0.024925053436618994,0.8065476190476191,2.104562520980835,0.9038192450283188,0.0490471975738046,0.03861335967726198,0.7160622477531433,0.6608158349990845,3.413295030593872,0.016404693895909817,0.8616071428571429,20.37803840637207,0.8783272727122599,0.05837334538467076,0.030622562424944433,0.7008460164070129,0.3428652584552765,60.02892303466797,591.3397827148438,0.8666666666666667,0.7970204841713222,0.5337689518928528,0.4434231221675873,21.609819412231445,364.5856018066406,-0.008520359540709177,342.9757823944092
29,0.008056092076003551,0.020519384198846358,0.8586309523809523,1.7123804092407227,0.8987865628545408,0.044702172640908144,0.026126767627138725,0.9312236309051514,0.46729955077171326,0.05143194645643234,0.00866832547109353,0.8526785714285714,13.014249801635742,0.9563233758991785,0.02178432291066723,0.01012748494182536,0.21620677411556244,0.13934656977653503,72.73580169677734,48.190032958984375,0.7925925925925926,0.8901303538175046,0.6983659267425537,0.4416746199131012,19.721303939819336,15.6301908493042,-0.011851058727752828,-4.091113090515137
30,0.020369168370962143,0.021455185818820333,0.8586309523809523,1.6487443447113037,0.8941831935468573,0.0680112623663347,0.02623022682846876,0.9136362671852112,0.5419739484786987,0.3841281235218048,0.013285223337780372,0.8258928571428571,11.8058443069458,0.9595014792794444,0.014870348723623694,0.022869854659961275,0.27152299880981445,0.18325939774513245,65.27352142333984,36.093040466308594,0.8148148148148148,0.8621973929236499,0.6602655649185181,0.4927735924720764,16.214420318603516,10.93964958190918,-0.00816996248103996,-5.274770736694336
31,0.012555103749036789,0.011186526307373379,0.8913690476190477,1.8075697422027588,0.896116538109411,0.029033678512600525,0.014388142794431014,0.5127151608467102,0.398126482963562,0.2645266652107239,0.005184859827810695,0.8482142857142857,11.439613342285156,0.9042343845763499,0.010994834987062108,0.00625818097066988,0.2587094306945801,0.15149427950382233,27.296987533569336,12.524873733520508,0.8888888888888888,0.8901303538175046,0.4285713732242584,0.47665470838546753,9.424579620361328,6.610193729400635,-0.006001666479562684,-2.8143858909606934
32,0.005712470971047878,0.013428520066803618,0.8497023809523809,1.195204257965088,0.8867868352844679,0.03338854403384228,0.018170867416870684,0.6500042080879211,0.48665663599967957,0.03201478347182274,0.005220076698825071,0.8422619047619048,4.6529107093811035,0.9749303328571579,0.039340215285163516,0.010081185887762745,0.2982669174671173,0.21177852153778076,64.88199615478516,53.87042999267578,0.9481481481481482,0.8286778398510242,0.5826285481452942,0.4247487485408783,15.308375358581543,15.898221015930176,-0.008208443367978546,0.5898456573486328
33,0.008435720577836037,0.011867275216833617,0.8675595238095238,1.7512118816375732,0.8927391736843396,0.05008723412175364,0.016856829453055444,0.9102420806884766,0.5051883459091187,0.04719803109765053,0.0035395990919655507,0.8318452380952381,9.29522705078125,0.9222243979248684,0.0263040266331509,0.006022915677090013,0.33649030327796936,0.18172848224639893,3973.018310546875,3751.833251953125,0.8814814814814815,0.8752327746741154,0.6534269452095032,0.4204995930194855,1415.8802490234375,1382.1282958984375,-0.008327676124868066,-33.751953125
