rep,lin_mmd_b,rbf_mmd_b,knn_overlap_b,tail_ipm_b,rho_b,rbf_mmd_g0_b,rbf_mmd_g1_b,rbf_mmd_local_b,lin_mmd_s,rbf_mmd_s,knn_overlap_s,tail_ipm_s,rho_s,rbf_mmd_g0_s,rbf_mmd_g1_s,rbf_mmd_local_s
72,0.0024405994918197393,0.017777914915226734,0.8824404761904762,0.4869754910469055,0.219527605623715,0.07228891177134167,0.016480559016120777,0.027692058453553544,0.022884551435709,0.04902482855501045,0.8050595238095238,1.6808935403823853,0.3239060989092735,0.10415980584315343,0.02844192734491502,0.043653108293221846
73,0.006323641166090965,0.014341180452851487,0.8571428571428571,1.1727064847946167,0.8802308452527002,0.057442722110658484,0.011946602733081568,0.021086448143755505,0.11372963339090347,0.021158830533083206,0.7767857142857143,4.157513618469238,0.9619558819727353,0.17386849819348915,0.01752587578097875,0.048933991890634854
74,0.012966008856892586,0.02063133099179404,0.8333333333333334,1.5415160655975342,0.9302430307642184,0.034821118668657114,0.01597899267439651,0.019764241200029217,0.08183582872152328,0.0244234834956899,0.7872023809523809,4.563579559326172,0.9006517231956823,0.06591098821601538,0.04298178366812677,0.04758809708176511
75,0.0019437086302787066,0.015215505729636702,0.8497023809523809,0.5097789764404297,0.18089762037570936,0.04747146198765717,0.014203691239480065,0.02088694875585493,0.018822509795427322,0.026405534085948257,0.8422619047619048,2.4042115211486816,0.5133511478880041,0.09082354168639395,0.0372231287754784,0.047991068869189114
76,0.02302386984229088,0.022486803249738396,0.8988095238095238,1.7247207164764404,0.8567535638799065,0.02329437378853083,0.015820108052784776,0.01732163465148376,0.49649742245674133,0.02297015947520764,0.8214285714285714,9.691987991333008,0.9749176620302669,0.02571508343544815,0.014591972088717431,0.0168265257074803
77,0.019980348646640778,0.019959447823561405,0.8779761904761905,1.4036065340042114,0.8521052963084614,0.030240678620196082,0.02127618305233603,0.023077086179807915,0.2789887487888336,0.019196137880874486,0.8482142857142857,5.691585063934326,0.8443884460725062,0.028987595883410378,0.016548970991056566,0.019047801884609788
78,0.0032806862145662308,0.021411961898792686,0.8333333333333334,0.5693107843399048,0.4949353525968082,0.06487765927227929,0.021249986071648852,0.03001447399141836,0.02212163805961609,0.01967806698368324,0.8541666666666666,3.527592182159424,0.8891225684856486,0.030639356729897704,0.03809417948251159,0.03659655884024541
79,0.0030613504350185394,0.016917387015853325,0.8452380952380952,0.5640478730201721,0.35381382888103285,0.045872581945857305,0.018054174860952954,0.02364269414140249,0.5375766158103943,0.03709584200553517,0.8050595238095238,5.79256010055542,0.8908551739608249,0.0056415939514320446,0.04923134349759817,0.04047447416912729
80,0.00212659640237689,0.016039447679601193,0.8616071428571429,0.5304781198501587,0.4629397341732173,0.0364737050698174,0.020776730315458125,0.023930140422360656,0.030899204313755035,0.019966194545127824,0.8080357142857143,4.2312822341918945,0.8124315996929101,0.11857453765381065,0.02437467913834701,0.0432987578579714
81,0.05197148770093918,0.032708326286465805,0.8452380952380952,1.8968067169189453,0.9123023691568155,0.02835887095420675,0.0361875297536578,0.03461480811983951,7.3370819091796875,0.03164938391871952,0.9151785714285714,22.691993713378906,0.9094916784720798,0.021866490404859662,0.030946655064982176,0.029122514843082564
