replica,PEHE,ATE_error
855,0.72290874,0.022576809
856,1.1794857,0.09200096
857,1.2146102,0.105890274
858,0.39667818,0.040399075
859,1.1313683,0.10092354
860,0.56245005,0.1271987
861,0.7324654,0.13377666
862,0.5644132,0.1445508
863,0.74031323,0.124863386
864,0.6679128,0.10659146
865,1.6962614,0.58775735
866,0.8683711,0.12691832
867,1.4468166,0.026488781
868,7.559041,2.9387412
869,2.0831583,0.1382432
870,0.5456218,0.0415473
871,8.369244,2.4519901
872,12.676301,2.3306818
873,0.23262836,0.07970905
874,0.51524925,0.035518646
875,0.6482808,0.016703129
876,0.88555026,0.20678496
877,0.5309988,0.041225433
878,0.581923,0.050403118
879,0.22362167,0.21563745
880,1.1386949,0.047077656
881,0.612488,0.10340452
882,0.5432476,0.15116763
883,0.51132774,0.1453166
884,1.4951106,0.042915344
885,1.2818162,0.08506775
886,0.5336053,0.19573474
887,2.4039629,0.100209236
888,0.78342295,0.17320776
889,0.5217789,0.0038414001
890,0.82029057,0.23297358
891,0.84423625,0.10575724
892,0.6275071,0.27666044
893,9.853385,1.1528908
894,2.4142346,0.1478529
895,0.79934466,0.14920521
896,0.85678345,0.060673714
897,0.61101705,0.33380842
898,0.65585035,0.16681719
899,0.76385325,0.054276943
900,0.70221364,0.077890635
901,0.5300317,0.06950021
902,1.1116226,0.080108166
903,1.0680672,0.032122612
904,0.6588319,0.011358738
905,0.88511133,0.07473612
906,0.73905826,0.2073443
907,0.7529638,0.09748888
908,0.26763052,0.014634848
909,1.2633088,0.022444248
910,0.401233,0.017399788
911,2.205015,0.4999733
912,0.5041295,0.02791357
913,0.7237554,0.06755638
914,0.70922655,0.02696228
915,0.7961207,0.21534324
916,0.84466267,0.018532753
917,0.7516537,0.2734723
918,0.6536652,0.042355537
919,1.0812315,0.06438446
920,0.76731014,0.22163582
921,0.54282415,0.044533253
922,0.65485114,0.19746828
923,0.82086205,0.17382097
924,1.8148259,0.14947915
925,23.082201,1.9506276
926,0.80671304,0.046248198
927,5.900718,2.111329
928,0.98006016,0.16681552
929,0.7263059,0.096337795
930,0.84401596,0.076413155
931,2.924417,0.17961931
932,0.6064527,0.11534834
933,1.2798101,0.06893206
934,9.889424,2.1171255
935,0.4649011,0.08172703
936,2.9560194,0.19209003
937,0.71682,0.22329617
938,0.626262,0.09046173
939,0.8596355,0.19202638
940,0.7045465,0.12887716
941,0.719825,0.011919498
942,0.5990156,0.032559395
943,0.7580023,0.048550367
944,0.13480553,0.07547808
945,0.60086226,0.035176277
946,0.5354805,0.029057741
947,1.2326615,0.15403366
948,0.8242536,0.34056187
949,1.6567906,0.30446434
950,0.5637146,0.09382391
951,0.56562865,0.097914934
952,0.640672,0.0077872276
953,0.6221239,0.010834217
954,0.59864753,0.09386301
955,0.7945677,0.13448715
956,0.6585953,0.052299976
957,1.9079165,0.18119526
958,1.4794195,0.06673288
959,1.4043074,0.11053753
960,1.2032167,0.051698685
961,0.8480656,0.25515985
962,3.9581013,0.28297234
963,1.1708788,0.1866579
964,0.3738686,0.05756235
965,0.6223367,0.043616533
966,5.4656854,2.3420386
967,0.98544234,0.07876706
968,0.7572958,0.20442057
969,0.7919515,0.29369164
